doi,title,authors,venues,year,pub,doc
https://doi.org/10.1007/978-3-319-33769-2_10,Authorization and Access Control: ABAC.,Ted Faber; Stephen Schwab; John Wroclawski,,2016,https://dblp.org/rec/books/sp/16/FaberSW16,https://doi.org/10.1007/978-3-319-33769-2_10
https://doi.org/10.1109/ACOMP.2016.014,Rew-XAC: An Approach to Rewriting Request for Elastic ABAC Enforcement with Dynamic Policies.,Luong Khiem Tran; Ha Xuan Son; Yen Nhi Pham; Tran Khanh Dang,International Conference on Advanced Computing and Analytics (ACOMPA),2016,https://dblp.org/rec/conf/acomp/SonTDP16,https://doi.org/10.1109/ACOMP.2016.014
https://doi.org/10.1109/ACSAC.2006.53,Using Attribute-Based Access Control to Enable Attribute-Based Messaging.,Himanshu Khurana; Fariba Khan; Omid Fatemieh; Carl A. Gunter; Rakesh Bobba,Annual Computer Security Applications Conference (ACSAC),2006,https://dblp.org/rec/conf/acsac/BobbaFKGK06,https://doi.org/10.1109/ACSAC.2006.53
https://doi.org/10.1145/3359789.3359805,Mining least privilege attribute based access control policies.,Matthew W. Sanders; Chuan Yue,Annual Computer Security Applications Conference (ACSAC),2019,https://dblp.org/rec/conf/acsac/SandersY19,https://doi.org/10.1145/3359789.3359805
https://doi.org/10.1007/978-3-319-67837-5_7,ABAC Based Online Collaborations in the Cloud.,Mohammed Erradi; Yahya Benkaouz; Mohamed Amine Madani,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering (LNICST); International Conference on Emerging Technologies for Developing Countries (AFRICATEK)",2018,https://dblp.org/rec/conf/africatek/MadaniEB17,https://doi.org/10.1007/978-3-319-67837-5_7
https://doi.org/10.1007/978-3-031-57870-0_37,A Security Evaluation of Chaos Attribute-Based Access Control (ABAC) for Cloud Computing.,Omessead BenMbarak; Sadok El Asmi; Anis Naanaa,Lecture Notes on Data Engineering and Communications Technologies (LNDECT); International Conference on Advanced Information Networking and Applications (AINA),2024,https://dblp.org/rec/conf/aina/BenMarakNE24,https://doi.org/10.1007/978-3-031-57870-0_37
https://doi.org/10.1007/978-3-030-15032-7_97,A Fuzzy Logic Based Trust-ABAC Model for the Internet of Things.,Lamjed Ben Said; Nadia Ben Azzouna; Hamdi Ouechtati,Advances in Intelligent Systems and Computing (AISC); International Conference on Advanced Information Networking and Applications (AINA),2020,https://dblp.org/rec/conf/aina/OuechtatiAS19,https://doi.org/10.1007/978-3-030-15032-7_97
https://doi.org/10.1007/978-3-030-44038-1_104,A Context-Aware Security Model for a Combination of Attribute-Based Access Control and Attribute-Based Encryption in the Healthcare Domain.,Ioannis Patiniotakis; Giannis Verginadis; Gregoris Mentzas; Dimitris Apostolou; Evgenia Psarra,International Conference on Advanced Information Networking and Applications (AINA); Advances in Intelligent Systems and Computing (AISC),2020,https://dblp.org/rec/conf/aina/PsarraVPAM20,https://doi.org/10.1007/978-3-030-44038-1_104
https://doi.org/10.1145/3488932.3527293,Enabling Attribute-Based Access Control in Linux Kernel.,Shamik Sural; Vijayalakshmi Atluri; Jaideep Vaidya; H. O. Sai Varshith,ACM Asia Conference on Computer and Communications Security (AsiaCCS),2022,https://dblp.org/rec/conf/asiaccs/VarshithSVA22,https://doi.org/10.1145/3488932.3527293
,Extracting Attribute-Based Access Control Rules from Business Process Event Logs.,Nour Assy; Amani Abou Rida; Walid Gaaloul,CEUR Workshop Proceedings; International Conference on Big Data and Cyber-Security Intelligence (BDCSIntell),2020,https://dblp.org/rec/conf/bdcsintell/RidaAG19,https://ceur-ws.org/Vol-2622/paper6.pdf
https://doi.org/10.1109/BHI.2016.7455820,Applying attribute based access control for privacy preserving health data disclosure.,Indrakshi Ray; Toan Ong; Michael G. Kahn; Indrajit Ray,International Conference on Biomedical and Health Informatics (BHI),2016,https://dblp.org/rec/conf/bhi/RayORK16,https://doi.org/10.1109/BHI.2016.7455820
https://doi.org/10.1109/BIBM55620.2022.9995559,Automated Extraction of ABAC Policies from Natural-Language Documents in Healthcare Systems.,Qinting Wang; Huiting Hou; Yutang Xia; Qingni Shen; Shengfang Zhai; Zhonghai Wu,IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2022,https://dblp.org/rec/conf/bibm/XiaZWHWS22,https://doi.org/10.1109/BIBM55620.2022.9995559
https://doi.org/10.1109/BIGCOM61073.2023.00017,A Trust Evaluation Based Attribute-Based Access Control Model for Smart Home.,Fanping Zeng; Yufan Tao,International Conference on Big Data Computing and Communications (BigCom),2023,https://dblp.org/rec/conf/bigcom/TaoZ23,https://doi.org/10.1109/BIGCOM61073.2023.00017
