doi,title,abstract,authors,venue,year,citations,url,pdf_url,paperId
10.6028/nist.sp.800-162,Guide to Attribute Based Access Control (ABAC) Definition and Considerations,"This document provides Federal agencies with a definition of attribute based access control (ABAC). ABAC is a logical access control methodology where authorization to perform a set of operations is determined by evaluating attributes associated with the subject, object, requested operations, and, in some cases, environment conditions against policy, rules, or relationships that describe the allowable operations for a given set of attributes. This document also provides considerations for using ABAC to improve information sharing within organizations and between organizations while maintaining control of that information.",Vincent C. Hu; David Ferraiolo; Rick Kuhn; Adam Schnitzer; Kenneth Sandlin; Robert R. Miller; Karen Scarfone,,2014,815,https://openalex.org/W2749040653,,W2749040653
10.1109/icws.2005.25,Attributed based access control (ABAC) for Web services,"For companies and government agencies alike, the emergence of Web services technologies and the evolution of distributed systems toward service oriented architectures (SOA) have helped promote collaboration and information sharing by breaking down ""stove-piped"" systems and connecting them via loosely coupled, interoperable system-to-system interfaces. Such architectures, however, also bring about their own security challenges that require due consideration. Unfortunately, the current information security mechanisms are insufficient to address these challenges. In particular, the access control models today are mostly static and coarsely grained; they are not well-suited for the service-oriented environments where information access is dynamic and ad-hoc in nature. This paper outlines the access control challenges for Web services and SOA, and proposes an attribute based access control (ABAC) model as a new approach, which is based on subject, object, and environment attributes and supports both mandatory and discretionary access control needs. The paper describes the ABAC model in terms of its authorization architecture and policy formulation, and makes a detailed comparison between ABAC and traditional role-based models, which clearly shows the advantages of ABAC. The paper then describes how this new model can be applied to securing Web service invocations, with an implementation based on standard protocols and open-source tools. The paper concludes with a summary of the ABAC model's benefits and some future directions.",Eric Yuan; J. Tong,,2005,710,https://openalex.org/W2070199221,,W2070199221
10.1109/jsac.2011.110312,ABACS: An Attribute-Based Access Control System for Emergency Services over Vehicular Ad Hoc Networks,"In this paper, we propose an Attribute-Based Access Control System (ABACS) for emergency services with security assurance over Vehicular Ad Hoc Networks (VANETs). ABACS aims to improve the efficiency of rescues mobilized via emergency communications over VANETs. By adopting fuzzy identity-based encryption, ABACS can select the emergency vehicles that can most appropriately deal with an emergency and securely delegate the authority to control traffic facilities to the assigned emergency vehicles. Using novel cryptographic preliminaries, ABACS realizes confidentiality of messages, prevention of collusion attacks, and fine-grained access control. As compared to the current PKI scheme, the computational delay and transmission overhead can be reduced by exploiting the advantages afforded by message broadcasting, which is heavily used in ABACS. The performance evaluation demonstrates that ABACS is a suitable candidate for realizing emergency services via VANETs.",Lo‐Yao Yeh; Yen‐Cheng Chen; Jiun‐Long Huang,IEEE Journal on Selected Areas in Communications,2011,59,https://openalex.org/W2097581932,,W2097581932
10.1109/csss.2012.354,Attribute Based Access Control (ABAC)-Based Cross-Domain Access Control in Service-Oriented Architecture (SOA),"The traditional role-based access control model (RBAC) can not meet the requirements of Service Oriented Architectures (SOA) on the distribution and openness, Attribute-Based Access Control (ABAC), which is more fine-grained in access control, is more fit into the SOA open environment. This paper presents an ABAC-based cross-domain access control system, together with the security domain as a attribute with the subject, object, authority, environment attributes as the basis for access to the decision-making, eliminating integration constraints for the SOA framework based on the RBAC, somehow improves the scalability and alterability of the system, solved the problem of cross-domain access control.",Dan Ni; Shi Hua-ji; Yuan Chen; Guo Jia-Hu,,2012,32,https://openalex.org/W2080022606,,W2080022606
10.1016/j.eswa.2022.119271,AC-ABAC: Attribute-based access control for electronic medical records during acute care,"Acute care demands fast response and procedures from the healthcare professionals involved in the emergency. The availability of electronic medical records (EMR) enables acute care teams to access patient data promptly, which is critical for proper treatment. The EMR contains sensitive data, so proper access control is a necessity. However, acute care situations entail the introduction of dynamic authorisation techniques that are able to swiftly grant access to the acute care teams during the treatment and that at the same time can revoke it as soon as the treatment is over. In this work, our contributions are threefold. First, we propose a step-by-step methodology that defines dynamic and fine-grained access control in acute care incidents. Then, we applied this methodology with the Amsterdam University Medical Center acute stroke care teams, resulting in a new model coined ’Acute Care Attribute-Based Access Control (AC-ABAC)’. AC-ABAC implements access control policies that take into account contextual attributes for dynamically sharing patient data with the appropriate healthcare professionals during the life cycle of acute care. Finally, we evaluate the performance and show the feasibility and correctness of AC-ABAC through a prototype implementation of the model and simulation of patient data requests in various scenarios. The results show that the most complex policy evaluation takes on average 194.89 ms, which is considered worthwhile when compared to the added value to the system's security and the acute care process.",Marcela Tuler de Oliveira; Yiannis Verginadis; Lúcio Henrik A. Reis; Evgenia Psarra; Ioannis Patiniotakis; Sílvia D. Olabarriaga,Expert Systems with Applications,2022,41,https://openalex.org/W4309293856,,W4309293856
10.1109/cic.2015.38,AR-ABAC: A New Attribute Based Access Control Model Supporting Attribute-Rules for Cloud Computing,"One of the most important challenges that have threatened cloud computing and caused its slow adoption is security. Since clouds have diverse groups of users with different sets of security requirements, restricting the users' accesses and protecting information from unauthorized accesses have become the most difficult tasks. To address these critical challenges, in this paper we first formalize Attribute Based Access Control (ABAC) and propose a new access control model, called Attribute-Rule ABAC (AR-ABAC), for cloud computing to meet critical access control requirements in clouds. Our model supports the attribute-rules that deal with the association between users and objects, as well as the capability for accessing objects based on their sensitivity levels. The attribute-rules specify an agreement that determines what kind of attributes should be used and the number of attributes considered for making access decisions. In addition, our model ensures secure resource sharing among potential untrusted tenants and supports different access permissions to the same user at the same session.",Khaled Riad; Yan Zhu; Hongxin Hu; Gail‐Joon Ahn,,2015,30,https://openalex.org/W2540441229,,W2540441229
10.6028/nist.sp.800-178,A Comparison of Attribute Based Access Control (ABAC) Standards for Data Service Applications,"The Information Technology Laboratory (ITL) at the National Institute of Standards and Technology (NIST) promotes the U.S. economy and public welfare by providing technical leadership for the Nation's measurement and standards infrastructure.ITL develops tests, test methods, reference data, proof of concept implementations, and technical analyses to advance the development",David F. Ferraiolo; Ramaswamy Chandramouli; Vincent C. Hu; D. Richard Kuhn,,2016,40,https://openalex.org/W2724750997,https://doi.org/10.6028/nist.sp.800-178,W2724750997
10.4018/979-8-3693-1431-9.ch005,Role-Based access Control (RBAC) and Attribute-Based Access Control (ABAC),"This chapter explores the profound impact of artificial intelligence (AI) and machine learning (ML) on the realm of cloud security. As organizations increasingly migrate their operations and data to cloud environments, ensuring robust security measures becomes paramount. The integration of AI and ML technologies introduces novel ways to enhance threat detection, prevention, and response in the cloud. This chapter delves into various aspects of this synergy, discussing the benefits, challenges, and future prospects of utilizing AI and ML for safeguarding cloud infrastructures. This chapter also presents the benefits, challenges, and future directions. This abstract underscores the transformative potential of AI and ML in fortifying cloud infrastructures and safeguarding sensitive information in the digital age.",Javed Akhtar Khan,"Advances in information security, privacy, and ethics book series",2024,25,https://openalex.org/W4391502940,,W4391502940
10.1186/s42400-018-0019-2,Automated extraction of attributes from natural language attribute-based access control (ABAC) Policies,"Article (1) developing a practical framework to extract authorization attributes of hierarchical ABAC system from natural language artifacts, and (2) generating a set of realistic synthetic natural language access control policies (NLACPs) to evaluate the proposed framework.",Manar Alohaly; Hassan Takabi; Eduardo Blanco,Cybersecurity,2019,34,https://openalex.org/W2914854069,https://cybersecurity.springeropen.com/track/pdf/10.1186/s42400-018-0019-2,W2914854069
10.1016/j.future.2022.01.003,MLS-ABAC: Efficient Multi-Level Security Attribute-Based Access Control scheme,,Seyed Farhad Aghili; Mahdi Sedaghat; Dave Singelée; Maanak Gupta,Future Generation Computer Systems,2022,39,https://openalex.org/W4226189137,,W4226189137
