doi,title,abstract,authors,venue,year,citations,url,pdf_url,paperId
10.1007/978-3-030-66922-5_30,A3BAC: Attribute-Based Access Control Model with Anonymous Access,,Runnan Zhang; Gang Liu; Shancang Li; Yonghe Wei; Quan Wang,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",2021,2,https://www.semanticscholar.org/paper/0000eb56c939fefd6eb3effa8ff06f964891a0be,,0000eb56c939fefd6eb3effa8ff06f964891a0be
10.3390/su131910556,An Attribute-Based Access Control for IoT Using Blockchain and Smart Contracts,"With opportunities brought by the Internet of Things (IoT), it is quite a challenge to maintain concurrency and privacy when a huge number of resource-constrained distributed devices are involved. Blockchain have become popular for its benefits, including decentralization, persistence, immutability, auditability, and consensus. Great attention has been received by the IoT based on the construction of distributed file systems worldwide. A new generation of IoT-based distributed file systems has been proposed with the integration of Blockchain technology, such as the Swarm and Interplanetary File System. By using IoT, new technical challenges, such as Credibility, Harmonization, large-volume data, heterogeneity, and constrained resources are arising. To ensure data security in IoT, centralized access control technologies do not provide credibility. In this work, we propose an attribute-based access control model for the IoT. The access control lists are not required for each device by the system. It enhances access management in terms of effectiveness. Moreover, we use blockchain technology for recording the attribute, avoiding data tempering, and eliminating a single point of failure at edge computing devices. IoT devices control the user’s environment as well as his or her private data collection; therefore, the exposure of the user’s personal data to non-trusted private and public servers may result in privacy leakage. To automate the system, smart contracts are used for data accessing, whereas Proof of Authority is used for enhancing the system’s performance and optimizing gas consumption. Through smart contracts, ciphertext can be stored on a blockchain by the data owner. Data can only be decrypted in a valid access period, whereas in blockchains, the trace function is achieved by the storage of invocation and the creation of smart contracts. Scalability issues can also be resolved by using the multichain blockchain. Eventually, it is concluded from the simulation results that the proposed system is efficient for IoT.",S. Zaidi; M. A. Shah; Hasan Ali Khattak; C. Maple; Hafiz Tayyab Rauf; Ahmed M. El-Sherbeeny,Sustainability,2021,59,https://www.semanticscholar.org/paper/0010110e322b5ed622e9a57ff2aed1b092b3cf9e,https://www.mdpi.com/2071-1050/13/19/10556/pdf?version=1632448701,0010110e322b5ed622e9a57ff2aed1b092b3cf9e
10.1109/ICCMC48092.2020.ICCMC-000166,A Priority-based Approach for Detection of Anomalies in ABAC Policies using Clustering Technique,"Cloud computing offers several computing services like storage, networks, hardware, and software. The most beneficial cloud service is cloud storage. The organization or large industries can store their big data in cloud storage on pay for usage scheme. As the big data are outsourced in a distributed cloud environment, securing and protecting the big data is essential. The various access control models, which consist of a set of security policies, are used generally to protect the outsourced data. Anomalies in the security policies dilute the efficiency of the access security model. Developing an efficient access control model to protect the data is a challenging and ongoing process. The primary goal of this paper is to analyze and detect the important anomalies in Attribute-Based Access Control-ABAC Policies. This paper presents an approach that uses Priority-level to avoid the conflict in ABAC Policies. This approach groups the rules of ABAC policies based on Priority-level and similarity with the clustering technique, and detect the anomalies in each cluster rather than all rules, which made this approach efficient.",K. Vijayalakshmi; V. Jayalakshmi,International Conference Computing Methodologies and Communication,2020,10,https://www.semanticscholar.org/paper/0024e45c4e631490db37b555bf2fd8161e58cff7,,0024e45c4e631490db37b555bf2fd8161e58cff7
10.17781/p002451,Comparison of Attribute Based Access Control (ABAC) Model and Rule Based Access (RBAC) to Digital Evidence Storage (DES),,Moh Fadly Panende; Imam Riadi Yudi Prayudi,,2018,3,https://www.semanticscholar.org/paper/0057f1e4583f1f2ae0ce99505c9c111a7d968555,,0057f1e4583f1f2ae0ce99505c9c111a7d968555
10.1109/ICNC64010.2025.10993941,Empowering Secure Data-Driven Services for CPS: An Attribute-Based Access Control Model with Experimental Validation,"The convergence of physical and computational components in cyber-physical systems (CPS) is driving innovations that revolutionize diverse sectors, from self-driving cars and smart industry to healthcare. However, this interconnection expands the risk of cyberattacks and data breaches as the constant exchange of large amounts of sensitive data creates more opportunities for data exploitation. Addressing this problem through effective data access control in dynamic and complex CPS remains challenging due to the trade-off between security and efficiency. Moreover, the lack of large-scale real-world implementations of access control mechanisms in CPS restricts the evaluation of existing solutions, highlighting the need for further research and development. To fulfill these requirements, we propose a secure data sharing framework that leverages ciphertext-policy attribute-based proxy re-encryption for fine-grained access control with flexible policy updates and secure delegation of decryption rights within CPS, named ""SDS-CPS."" We further enhance our proposal by employing an information-centric networking approach, which decouples data from its source and enables in-network caching for efficient data delivery in heterogeneous CPS environments. For validation, we implemented and evaluated SDS-CPS on an actual testbed. The experimental results demonstrate significant improvements in data access efficiency while securely handling dynamic access policies with minimal computational overhead.",Htet Htet Hlaing; Y. Teranishi; Hitoshi Asaeda,"International Conference on Computing, Networking and Communications",2025,1,https://www.semanticscholar.org/paper/008afdf3f8bf25aa4fff45f149ad67b053b19038,,008afdf3f8bf25aa4fff45f149ad67b053b19038
10.1109/BigDataSecurity-HPSC-IDS49724.2020.00018,Context Sensitive Access Control in Smart Home Environments,"The rise in popularity of Internet of Things (IoT) devices has opened doors for privacy and security breaches in Cyber-Physical systems like smart homes, smart vehicles, and smart grids that affect our daily existence. IoT systems are also a source of big data that gets shared via cloud. IoT systems in a smart home environment have sensitive access control issues since they are deployed in a personal space. The collected data can also be of highly personal nature. Therefore, it is critical to build access control models that govern who, under what circumstances, can access which sensed data or actuate a physical system. Traditional access control mechanisms are not expressive enough to handle such complex access control needs, warranting the incorporation of new methodologies for privacy and security. In this paper, we propose the creation of the PALS system, that builds upon existing work in attribute based access control model, captures physical context collected from sensed data (attributes), and performs dynamic reasoning over these attributes and context driven policies using Semantic Web technologies to execute access control decisions. Reasoning over user context, details of information collected by cloud service provider and device type our mechanism generates as a consequent access control decisions. Our system’s access control decisions are supplemented by another sub-system that detects intrusions into smart home systems based on both network and behavioral data. The combined approach serves to determine indicators that a smart home system is under attack, as well as limit what data breach such attacks can achieve.",Sofia Dutta; Sai Sree Laya Chukkapalli; Madhura Sulgekar; Swathi Krithivasan; Prajit Kumar Das; A. Joshi,"2020 IEEE 6th Intl Conference on Big Data Security on Cloud (BigDataSecurity), IEEE Intl Conference on High Performance and Smart Computing, (HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS)",2020,34,https://www.semanticscholar.org/paper/00c69ac3e46fce7013cda997e6c9a7c39714e890,https://mdsoar.org/bitstreams/1bb61058-f8a9-4ee7-b6ae-3a5f6973a8bd/download,00c69ac3e46fce7013cda997e6c9a7c39714e890
,Anonymous Attribute based Access Control in Cloud Computing,,M. Naima; T. Ahmed; Fetjah Laila,,2015,0,https://www.semanticscholar.org/paper/0175e20d3b636c37edd7fa50886256617edb6f79,,0175e20d3b636c37edd7fa50886256617edb6f79
10.1109/CLOUD.2016.0019,An Integrated Privacy Preserving Attribute Based Access Control Framework,,Runhua Xu; J. Joshi,IEEE International Conference on Cloud Computing,2016,18,https://www.semanticscholar.org/paper/01b734cd2a2f5baf0a64c327fa23b025f64bc4fc,,01b734cd2a2f5baf0a64c327fa23b025f64bc4fc
10.1007/s11227-021-04293-3,Auditable attribute-based data access control using blockchain in cloud storage,,V. Arasi; K. Gandhi; K. Kulothungan,Journal of Supercomputing,2022,30,https://www.semanticscholar.org/paper/023d0fd030a79e8265a957c5a669082fbb0967ad,,023d0fd030a79e8265a957c5a669082fbb0967ad
10.1145/3445969.3450428,The HABAC Model for Smart Home IoT and Comparison to EGRBAC,"In the near future IoT will be part of every home turning our houses into smart houses, in which we have multiple users with complex social relationships between them using the same smart devices. This requires sophisticated access control specification and enforcement models. Recently, several access control models have been developed or adapted for IoT in general, with a few specifically designed for the smart home IoT domain. The majority of these models are built on role-based access control (RBAC) or attribute-based access control (ABAC) models which have had considerable traction in traditional non-IoT domains. In this paper, we introduce the smart home IoT attribute-based access control model (HABAC). HABAC is a dynamic and fine-grained model that is developed specifically to meet smart home IoT challenges. Currently it is not precisely clear what are the pros and cons of ABAC over RBAC in general, and in smart home IoT in particular. To this end we provide an analysis of HABAC relative to the previously published EGRBAC (extended generalized role based access control) model for smart home IoT. We compare the theoretical expressive power of these models by providing algorithms for converting an HABAC specification to EGRBAC and vice versa, and discuss the insights for practical deployment of these models resulting from these constructions. We conclude that a hybrid model combining ABAC and RBAC features may be the most suitable for smart home IoT, and likely more generally.",Safwa Ameer; R. Sandhu,SAT-CPS@CODASPY,2021,17,https://www.semanticscholar.org/paper/02cd02c7217c7a72927602f2125e56ebd37c44a4,,02cd02c7217c7a72927602f2125e56ebd37c44a4
